not_para	key	1 Corinthians	1	17	For <span class="unique_phrase">Christ did not <span class="unique_chapter">send</span></span> me <span class="unique_phrase">to baptize</span>, <span class="unique_phrase">but</span> to preach the <span class="unique_phrase"><span class="unique_chapter">gospel</span></span>-<span class="unique_phrase">not with wisdom and <span class="unique_chapter">eloquence</span></span>, <span class="unique_phrase"><span class="unique_chapter"><span class="unique_word">lest</span></span> the cross of Christ be <span class="unique_chapter"><span class="unique_word">emptied</span></span> of its power</span>.
para	key	1 Corinthians	1	18	For the <span class="unique_chapter">message</span> of the <span class="unique_phrase">cross is</span> foolishness to those who are <span class="unique_phrase"><span class="unique_chapter">perishing</span></span>, <span class="unique_phrase">but</span> to <span class="unique_phrase">us who</span> are <span class="unique_chapter">being</span> <span class="unique_phrase"><span class="unique_chapter">saved</span> it</span> is the power of God.
not_para	key	1 Corinthians	1	19	For it is written: "I will <span class="unique_phrase"><span class="unique_chapter">destroy</span> the</span> wisdom of the <span class="unique_phrase">wise</span>; <span class="unique_phrase">the <span class="unique_chapter"><span class="unique_word">intelligence</span></span> of the <span class="unique_chapter"><span class="unique_word">intelligent</span></span> I will <span class="unique_chapter"><span class="unique_word">frustrate</span></span></span>."
not_para	not_key	1 Corinthians	1	20	Where is the <span class="unique_phrase">wise <span class="unique_chapter">person</span></span>? <span class="unique_phrase">Where</span> is <span class="unique_phrase">the <span class="unique_chapter"><span class="unique_word">teacher</span></span> of</span> the <span class="unique_phrase"><span class="unique_chapter">law</span></span>? <span class="unique_phrase">Where</span> is <span class="unique_phrase">the <span class="unique_chapter"><span class="unique_word">philosopher</span></span> of</span> this <span class="unique_phrase"><span class="unique_chapter">age</span></span>? <span class="unique_phrase">Has not God <span class="unique_chapter">made</span> foolish the</span> wisdom of the world?
not_para	not_key	1 Corinthians	1	21	For <span class="unique_phrase"><span class="unique_chapter">since</span> in</span> the wisdom of God the <span class="unique_phrase">world through its wisdom did</span> not <span class="unique_phrase"><span class="unique_chapter">know</span> him</span>, <span class="unique_phrase">God was <span class="unique_chapter">pleased</span> through</span> the foolishness of what was <span class="unique_chapter">preached</span> to <span class="unique_phrase"><span class="unique_chapter">save</span> those who <span class="unique_chapter">believe</span></span>.
not_para	not_key	1 Corinthians	1	22	<span class="unique_phrase">Jews <span class="unique_chapter"><span class="unique_word">demand</span> signs</span> and Greeks <span class="unique_chapter">look</span> for wisdom</span>,
not_para	not_key	1 Corinthians	1	23	but <span class="unique_chapter">we</span> <span class="unique_phrase">preach Christ crucified</span>: <span class="unique_phrase"><span class="unique_chapter">a</span></span> <span class="unique_chapter">stumbling block</span> <span class="unique_phrase">to Jews and foolishness to <span class="unique_chapter">Gentiles</span></span>,
not_para	not_key	1 Corinthians	1	24	but to <span class="unique_phrase">those <span class="unique_chapter">whom</span> God</span> has <span class="unique_phrase">called</span>, <span class="unique_phrase"><span class="unique_chapter">both</span> Jews</span> and <span class="unique_phrase">Greeks</span>, <span class="unique_phrase">Christ</span> the power of God and the wisdom of God.
not_para	key	1 Corinthians	1	25	For the foolishness of God <span class="unique_phrase">is <span class="unique_chapter"><span class="unique_word">wiser</span></span> than</span> human wisdom, and <span class="unique_phrase">the <span class="unique_chapter">weakness</span> of</span> God <span class="unique_phrase">is <span class="unique_chapter">stronger</span></span> than <span class="unique_phrase">human <span class="unique_chapter"><span class="unique_word">strength</span></span></span>.
not_para	not_key	1 Corinthians	1	26	Brothers and <span class="unique_phrase">sisters</span>, <span class="unique_phrase"><span class="unique_chapter">think</span></span> of what you <span class="unique_phrase">were <span class="unique_chapter">when</span></span> you were <span class="unique_phrase">called</span>. <span class="unique_phrase">Not many of</span> you <span class="unique_phrase">were wise</span> by <span class="unique_phrase">human <span class="unique_chapter">standards</span></span>; <span class="unique_phrase">not</span> many <span class="unique_phrase">were <span class="unique_chapter"><span class="unique_word">influential</span></span></span>; <span class="unique_phrase">not</span> many <span class="unique_phrase">were of <span class="unique_chapter"><span class="unique_word">noble birth</span></span></span>.
not_para	key	1 Corinthians	1	27	But God chose <span class="unique_phrase">the foolish things</span> of the world to shame the <span class="unique_phrase">wise</span>; <span class="unique_phrase">God</span> chose the <span class="unique_phrase"><span class="unique_chapter">weak</span> things</span> of the world to shame <span class="unique_phrase">the <span class="unique_chapter">strong</span></span>.
not_para	key	1 Corinthians	1	28	God chose <span class="unique_phrase">the <span class="unique_chapter"><span class="unique_word">lowly</span></span> things</span> of this world and <span class="unique_phrase">the <span class="unique_chapter"><span class="unique_word">despised</span></span> things</span>-<span class="unique_phrase">and</span> the things that are not-<span class="unique_phrase">to <span class="unique_chapter"><span class="unique_word">nullify</span></span> the</span> things that are,
not_para	key	1 Corinthians	1	29	so that no <span class="unique_phrase">one <span class="unique_chapter">may</span> boast <span class="unique_chapter">before</span> him</span>.
