0,Hebrews,1,11,"They will <span class=""unique_chapter"">perish</span>, but you <span class=""unique_phrase"">remain</span>; <span class=""unique_phrase"">they</span> will <span class=""unique_phrase"">all</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">wear</span></span></span> <span class=""unique_phrase""><span class=""unique_chapter"">out</span></span> <span class=""unique_phrase"">like</span> a garment."
0,Hebrews,1,12,"You <span class=""unique_phrase"">will</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">roll</span></span></span> <span class=""unique_phrase""><span class=""unique_chapter"">them</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">up</span></span> <span class=""unique_phrase"">like</span> <span class=""unique_phrase"">a</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">robe</span></span></span>; <span class=""unique_phrase"">like</span> a <span class=""unique_phrase"">garment</span> <span class=""unique_phrase"">they</span> will be <span class=""unique_phrase""><span class=""unique_chapter"">changed</span></span>. <span class=""unique_phrase"">But</span> you <span class=""unique_phrase"">remain</span> <span class=""unique_phrase"">the</span> <span class=""unique_phrase""><span class=""unique_chapter"">same</span></span>, <span class=""unique_phrase"">and</span> <span class=""unique_phrase"">your</span> <span class=""unique_phrase""><span class=""unique_chapter"">years</span></span> <span class=""unique_phrase"">will</span> <span class=""unique_phrase""><span class=""unique_chapter"">never</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">end</span></span>."""
1,Hebrews,1,13,"To which of the angels did God ever <span class=""unique_phrase"">say</span>, ""<span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">Sit</span></span></span> <span class=""unique_phrase"">at</span> <span class=""unique_phrase"">my</span> <span class=""unique_phrase"">right</span> <span class=""unique_phrase"">hand</span> <span class=""unique_phrase""><span class=""unique_chapter"">until</span></span> <span class=""unique_phrase"">I</span> <span class=""unique_phrase""><span class=""unique_chapter"">make</span></span> <span class=""unique_phrase"">your</span> <span class=""unique_phrase""><span class=""unique_chapter"">enemies</span></span> <span class=""unique_phrase"">a</span> <span class=""unique_phrase""><span class=""unique_chapter"">footstool</span></span> <span class=""unique_phrase"">for</span> your <span class=""unique_chapter"">feet</span>""?"
1,Hebrews,1,14,"Are <span class=""unique_chapter"">not</span> <span class=""unique_phrase"">all</span> <span class=""unique_phrase"">angels</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">ministering</span></span></span> <span class=""unique_phrase"">spirits</span> <span class=""unique_phrase""><span class=""unique_chapter"">sent</span></span> <span class=""unique_phrase"">to</span> <span class=""unique_phrase""><span class=""unique_chapter"">serve</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">those</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">who</span></span> <span class=""unique_phrase"">will</span> <span class=""unique_phrase""><span class=""unique_chapter"">inherit</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">salvation</span></span>?"
1,Hebrews,2,1,"We <span class=""unique_phrase""><span class=""unique_chapter"">must</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">pay</span></span> <span class=""unique_phrase"">the</span> <span class=""unique_phrase""><span class=""unique_chapter"">most</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">careful</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">attention</span></span>, <span class=""unique_phrase""><span class=""unique_chapter"">therefore</span></span>, <span class=""unique_phrase"">to</span> what we <span class=""unique_phrase"">have</span> <span class=""unique_phrase"">heard</span>, <span class=""unique_phrase"">so</span> that we do <span class=""unique_phrase"">not</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">drift</span></span></span> <span class=""unique_phrase""><span class=""unique_chapter"">away</span></span>."
0,Hebrews,2,2,"<span class=""unique_phrase"">For</span> <span class=""unique_phrase"">since</span> the <span class=""unique_phrase""><span class=""unique_chapter"">message</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">spoken</span></span> <span class=""unique_phrase"">through</span> <span class=""unique_phrase"">angels</span> <span class=""unique_phrase"">was</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">binding</span></span></span>, <span class=""unique_phrase"">and</span> <span class=""unique_phrase"">every</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">violation</span></span></span> <span class=""unique_phrase"">and</span> <span class=""unique_phrase""><span class=""unique_chapter"">disobedience</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">received</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">its</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">just</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">punishment</span></span>,"
0,Hebrews,2,3,"<span class=""unique_phrase""><span class=""unique_chapter"">how</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">shall</span></span> <span class=""unique_phrase"">we</span> <span class=""unique_phrase""><span class=""unique_chapter"">escape</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">if</span></span> <span class=""unique_phrase"">we</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">ignore</span></span></span> <span class=""unique_phrase"">so</span> <span class=""unique_phrase""><span class=""unique_chapter"">great</span></span> <span class=""unique_phrase"">a</span> <span class=""unique_phrase"">salvation</span>? <span class=""unique_phrase"">This</span> <span class=""unique_phrase"">salvation</span>, <span class=""unique_phrase"">which</span> <span class=""unique_phrase"">was</span> <span class=""unique_phrase""><span class=""unique_chapter"">first</span></span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">announced</span></span></span> <span class=""unique_phrase"">by</span> the <span class=""unique_phrase""><span class=""unique_chapter"">Lord</span></span>, <span class=""unique_phrase"">was</span> <span class=""unique_phrase""><span class=""unique_chapter"">confirmed</span></span> <span class=""unique_phrase"">to</span> <span class=""unique_chapter"">us</span> by those who <span class=""unique_phrase"">heard</span> <span class=""unique_phrase"">him</span>."
0,Hebrews,2,4,"<span class=""unique_phrase"">God</span> <span class=""unique_phrase""><span class=""unique_chapter"">also</span></span> <span class=""unique_phrase"">testified</span> <span class=""unique_phrase"">to</span> <span class=""unique_phrase"">it</span> <span class=""unique_phrase"">by</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">signs</span></span></span>, <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">wonders</span></span></span> <span class=""unique_phrase"">and</span> <span class=""unique_phrase""><span class=""unique_chapter"">various</span></span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">miracles</span></span></span>, <span class=""unique_phrase"">and</span> <span class=""unique_phrase"">by</span> <span class=""unique_phrase""><span class=""unique_chapter"">gifts</span></span> <span class=""unique_phrase"">of</span> the Holy <span class=""unique_phrase""><span class=""unique_chapter"">Spirit</span></span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">distributed</span></span></span> <span class=""unique_phrase""><span class=""unique_chapter"">according</span></span> to his will."
1,Hebrews,2,5,"It is not to <span class=""unique_phrase"">angels</span> <span class=""unique_phrase"">that</span> he <span class=""unique_phrase"">has</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">subjected</span></span></span> <span class=""unique_phrase"">the</span> <span class=""unique_phrase""><span class=""unique_chapter"">world</span></span> <span class=""unique_phrase"">to</span> <span class=""unique_phrase""><span class=""unique_chapter"">come</span></span>, <span class=""unique_phrase""><span class=""unique_chapter"">about</span></span> <span class=""unique_phrase"">which</span> we <span class=""unique_phrase"">are</span> <span class=""unique_phrase""><span class=""unique_chapter"">speaking</span></span>."
0,Hebrews,2,6,"But <span class=""unique_chapter"">there</span> is a <span class=""unique_phrase""><span class=""unique_chapter"">place</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">where</span></span> <span class=""unique_phrase""><span class=""unique_chapter"">someone</span></span> <span class=""unique_phrase"">has</span> <span class=""unique_phrase"">testified</span>: ""<span class=""unique_phrase"">What</span> <span class=""unique_phrase"">is</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">mankind</span></span></span> <span class=""unique_phrase"">that</span> you <span class=""unique_phrase"">are</span> <span class=""unique_phrase""><span class=""unique_chapter""><span class=""unique_word"">mindful</span></span></span> <span class=""unique_phrase"">of</span> them, <span class=""unique_phrase"">a</span> <span class=""unique_phrase""><span class=""unique_chapter"">son</span></span> <span class=""unique_phrase"">of</span> <span class=""unique_phrase""><span class=""unique_chapter"">man</span></span> <span class=""unique_phrase"">that</span> <span class=""unique_phrase"">you</span> <span class=""unique_phrase""><span class=""unique_chapter"">care</span></span> <span class=""unique_phrase"">for</span> him?"
